group,station,dwell_time_seconds,dwell_time_minutes
W3 G1,1,575.9499830000001,9.599166383333335
W3 G1,2,3870.3091970000005,64.50515328333334
W3 G1,3,1014.00347,16.90005783333333
W3 G1,4,1208.983561,20.149726016666666
W3 G2,1,1092.997347,18.21662245
W3 G2,2,816.0047959999999,13.600079933333332
W3 G2,3,1244.493385,20.741556416666665
W3 G2,4,2202.504266,36.708404433333335
W3 G3,1,110.000597,1.8333432833333334
W3 G3,2,1038.8769340000001,17.314615566666667
W3 G3,3,1267.99794,21.133299
W3 G3,4,2313.218645,38.55364408333333
W3 G4,1,403.0001390000001,6.716668983333335
W3 G4,2,1433.5986229999999,23.893310383333333
W3 G4,3,1013.0002450000001,16.883337416666667
W3 G4,4,2612.277005,43.537950083333335
W3 G5,1,1429.998811,23.833313516666667
W3 G5,2,1160.044966,19.334082766666665
W3 G5,3,1195.026128,19.917102133333334
W3 G5,4,1763.0237060000004,29.38372843333334
W3 G6,1,0.0,0.0
W3 G6,2,1957.254817,32.62091361666667
W3 G6,3,782.0276940000001,13.033794900000002
W3 G6,4,1310.0931190000001,21.834885316666668
